#,Neutral Comments
1,why are you showing the gear you didn't use? what is the point of this video then?
2,Tour de Mont Blanc...die staat hier absoluut nog op t lijstje. Ga zeker je video's bekijken.
3,"Hi~~how weight total your bag?
12kg? 14kg? Total weight i wonder???"
4,Did you bring any lamp with you?
5,Can you be more specific? I probably used it to show examples in the case of not having the actual stuff nearby
6,"Unfortunatly not, I made it on AllTrails. But maybe I can extract it, I will have a look later!"
7,"Jaa, kan ik alleen maar aanraden! Heel toffe hike! Leuk, hopelijk heb je er wat aan!"
8, @WanderwithXander  lijkt me onwijs gaaf en mooi inderdaad.
9,Ik zag ook veel mensen met een hond!
10, @WanderwithXander  goed om te weten!
11,I mention it at the end of the video!
12," @WanderwithXander  
I didn't understand it when I saw it last time, but now I understand it again. It was 9 kg... that's a lot of weight, excluding food and water."
13,Haahha I thought they were quite allright! Even ate them cold since I didnt carry a stove
14,"E ai meu 10, foi? Kkkkk to  vendo 100 vídeosdo TMB aqui, mas sem planos de ir em breve. Daqui há uns anos eu vou"
15,"May I ask ,is it the 35 or the 50l backpack?"
16,"Hoi Xander, Wij gaan de TMB a.s. augustus lopen.
Ik heb een Liteway Equipment Elementum Pack X-PAC 50L en ben heel benieuwd hoe deze rugzak gaat  bevallen.
Heb jij hier op de video ook een 50 liter? En hoe beviel de Liteway jou?"
17,35L! But with the sides i think its more around 40l
18,"last weekend yas very hot, 6 grades at 2600 mt"
19,"Licht, eenvoudig. Doet wat ie moest doen ondanks z'n lage gewicht!"
20,Dat kan natuurlijk ook! Net wat je prettig vindt. Hele fijne tocht gewenst en mooi gewicht toch?
21,Bedankt!
22, @elenna1237  in the last decades it frequently snow only from November... If you find any snow it would be 10 cm max under 2500 mt
